CATEGORY,SUBCATEGORY,BRAND,PRODUCT DESCRIPTION,SERVICE DESCRIPTION,SERVICE CATEGORY,PRODUCT/SERVICE PART NUMBER, MSRP ,DIR Customer Discount % off MSRP, DIR Customer Price* ,AVERAGE BRAND DISCOUNT,Fortinet Discount Category,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM,N/A,N/A,FAZ-VM-BASE," $1,800.00 ",15.00%," $1,541.48 ",15.00%,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 1 GB/Day of Logs and 500 GB storage capacity.,N/A,N/A,FAZ-VM-GB1, $600.00 ,15.00%, $513.83 ,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 5 GB/Day of Logs and 3 TB storage capacity.,N/A,N/A,FAZ-VM-GB5," $1,800.00 ",15.00%," $1,541.48 ",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 25 GB/Day of Logs and 10 TB storage capacity.,N/A,N/A,FAZ-VM-GB25," $6,500.00 ",15.00%," $5,566.44 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 100 GB/Day of Logs and 24 TB storage capacity.,N/A,N/A,FAZ-VM-GB100," $17,500.00 ",15.00%," $14,986.56 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 500 GB/Day of Logs and 48 TB storage capacity.,N/A,N/A,FAZ-VM-GB500," $25,000.00 ",15.00%," $21,409.38 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM Upgrade license for adding 2 TB/Day of Logs and 100 TB storage capacity.,N/A,N/A,FAZ-VM-GB2000," $80,000.00 ",15.00%," $68,510.00 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS,N/A,N/A,FAZ-VM-BASE-AWS," $1,800.00 ",15.00%," $1,541.48 ",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 1 GB/Day of Logs and 500 GB storage capacity.,N/A,N/A,FAZ-VM-GB1-AWS, $600.00 ,15.00%, $513.83 ,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 5 GB/Day of Logs and 3 TB storage capacity.,N/A,N/A,FAZ-VM-GB5-AWS," $1,800.00 ",15.00%," $1,541.48 ",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 25 GB/Day of Logs and 10 TB storage capacity.,N/A,N/A,FAZ-VM-GB25-AWS," $6,500.00 ",15.00%," $5,566.44 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 100 GB/Day of Logs and 24 TB storage capacity.,N/A,N/A,FAZ-VM-GB100-AWS," $17,500.00 ",15.00%," $14,986.56 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 500 GB/Day of Logs and 48 TB storage capacity.,N/A,N/A,FAZ-VM-GB500-AWS," $25,000.00 ",15.00%," $21,409.38 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AWS Upgrade license for adding 2 TB/Day of Logs and 100 TB storage capacity.,N/A,N/A,FAZ-VM-GB2000-AWS," $80,000.00 ",15.00%," $68,510.00 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ,N/A,N/A,FAZ-VM-BASE-AZ," $1,800.00 ",15.00%," $1,541.48 ",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 1 GB/Day of Logs and 500 GB storage capacity.,N/A,N/A,FAZ-VM-GB1-AZ, $600.00 ,15.00%, $513.83 ,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 5 GB/Day of Logs and 3 TB storage capacity.,N/A,N/A,FAZ-VM-GB5-AZ," $1,800.00 ",15.00%," $1,541.48 ",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 25 GB/Day of Logs and 10 TB storage capacity.,N/A,N/A,FAZ-VM-GB25-AZ," $6,500.00 ",15.00%," $5,566.44 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 100 GB/Day of Logs and 24 TB storage capacity.,N/A,N/A,FAZ-VM-GB100-AZ," $17,500.00 ",15.00%," $14,986.56 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 500 GB/Day of Logs and 48 TB storage capacity.,N/A,N/A,FAZ-VM-GB500-AZ," $25,000.00 ",15.00%," $21,409.38 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAnalyzer-VM-AZ Upgrade license for adding 2 TB/Day of Logs and 100 TB storage capacity.,N/A,N/A,FAZ-VM-GB2000-AZ," $80,000.00 ",15.00%," $68,510.00 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-6 GB/Day of Logs),N/A,N/A,FC1-10-LV0VM-149-02-12, $720.00 ,15.00%, $616.59 ,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
